UserId,V1,V2,V3,V4
A9E0B6,,1714,938,86
988ECF,,3572,1325,243
2876AE,3.574996822875142,1103,488,222
63A3DC,3.3048847028631605,5780,1163,255
702F7A,,6508,1555,330
358515,2.8382784843516125,618,797,330
B4F4EB,,3459,1030,330
F3BA0D,3.3719608046290217,4483,938,330
E1D5D3,2.835376139446317,5779,1087,330
9343DD,3.449372703631338,859,938,37
DD0604,3.4999942178081334,7928,237,37
4AACEE,3.675411757225409,755,189,121
D97295,,7057,262,330
C6612E,3.13919425792022,4849,822,143
622570,,3872,621,330
305735,3.1349346089544063,1431,102,330
A8F063,3.492705644382099,7019,1292,187
D2B763,,986,1079,56
3D5F1A,3.041195787980507,452,172,121
C8D62F,3.6433735647229604,459,1422,330
5B3537,3.313265945128588,79,1284,325
5B890B,,6584,1308,318
1450B3,3.328967299931966,5388,1079,56
200C59,,1446,1348,330
64E11C,2.7223103912495215,7409,1087,330
C40D98,3.1418531890007775,3449,1521,316
0D3648,4.076494446804197,7572,614,115
668AB3,,7848,1591,330
144AB6,,1000,226,121
13EB78,3.0421833316865214,5658,1290,187
88E209,3.9925310659635858,155,982,330
076B5E,3.044902915083015,4149,778,290
A2B51F,3.053169426653839,4366,938,251
1B2C94,,2650,473,330
AC9E14,3.2884888265515353,4182,350,330
317BA7,3.0039915085126982,5735,233,56
FFF4E9,3.726189902675591,582,511,290
7201BC,,6803,844,330
EB29D9,3.720175826698603,3355,49,143
ED440C,,832,1253,127
A71E50,-inf,896,206,72
B79966,4.376299641933305,5448,473,330
AAC608,,3691,844,330
8F1441,,7800,1181,243
7D22C6,,6990,894,330
0D345D,,2239,1422,330
A9FC4D,,5045,982,330
DF0EC4,,3208,245,325
50CDAA,3.7189382594874996,311,867,330
C38528,3.1070982036585675,1947,395,143
710CA4,,5231,982,330
C9A6D3,,4849,822,143
49B6AD,2.7739701916750583,4849,822,143
6E6035,,7145,1149,112
B11DFB,3.2215977707450847,3510,938,112
682BE4,3.10168469804751,5277,772,255
D59730,,6202,262,330
A566F1,3.2837164943196906,5680,890,330
7E1C38,3.13704498470284,2971,1390,325
8DD72E,,2546,1422,330
847F00,2.99300917934141,1029,1188,22
9E71AC,,442,49,330
C0DA8E,3.616473090630501,4987,134,121
E2DF3D,,360,890,330
49B2FA,,1648,1422,330
F9BB0B,3.4139414419691136,3865,262,330
F4C2A1,2.7677858066084173,7147,1238,235
8404CA,3.1235365796100107,8182,110,127
623ED3,2.6932095445275013,1513,233,56
308E66,3.3779315269090833,279,1006,222
EBC298,3.2282972756950215,4640,890,330
65349C,3.977011636576544,7509,292,290
8B0F3C,4.165226265218268,17,724,167
11864D,3.3239174030941685,4611,788,154
8AADC2,3.166408007745996,4640,890,330
6D2A28,3.4603765694148363,330,49,68
7FEB15,,939,844,330
88F7BA,,5892,1192,262
EDFF50,,4142,777,176
D0797F,3.809232212341724,3459,1030,330
82B5A1,3.943570400016409,1523,890,330
6A07F5,3.82471909964396,4190,134,121
6E77D4,3.3273194773842305,6093,621,330
F8C45E,,3306,1422,330
0E6164,3.1305812937526367,7129,938,303
C2BCC1,3.1778949267098366,7259,938,69
222E9F,,3549,57,56
C2D0BF,3.3799034831941617,1593,1072,330
689564,,8198,19,87
E41F16,,67,684,86
C033C0,,7171,1215,121
956670,3.0756693204498418,3572,1107,243
74491B,3.001591441064076,7702,1555,330
D2D4DA,,6706,1555,330
EE7DEF,3.2422581987895818,905,438,154
19A1A7,,1191,57,56
DF4865,,3220,1087,330
0A2258,2.705894413608945,2064,981,22
DDD7CD,3.0169865101018956,1500,621,330
E96A20,,754,439,325
C2708C,,8115,1555,330
2E211D,3.423309982788589,2055,1251,121
9CECAF,,7586,233,56
0C64BD,,2747,1555,330
63F79E,3.5599271659725686,582,154,290
1E1BA8,,1209,263,325
9A2C5A,2.8444493999333686,6508,1555,330
DD613C,,2679,262,330
A8A88D,2.9561482299104225,3029,825,330
F52F35,2.682713085850704,7144,473,330
313DBE,,5940,1072,330
6235C0,,2622,350,330
B87E6D,3.096519956845463,7388,102,330
6C8571,3.230122810650722,8016,836,56
2CC91F,,5796,262,330
66640E,3.3060341638098887,3925,843,330
049A53,3.062472068329855,4149,778,290
DFAA51,3.2989616397981805,1885,262,330
12ED91,,5251,262,330
CA9A56,3.737979984997995,5491,1123,115
A523A2,,5067,1529,330
A1E211,3.4572011909485796,7705,867,330
2FC8CA,3.9654615815174887,1264,262,330
BCF00D,,5796,262,330
ECEB63,3.211354113855174,3543,574,330
186BD3,,5796,262,330
930DCF,,939,844,330
A0B3F4,3.29162952316452,3749,1482,112
8390D5,3.9688332123957526,2736,1608,104
33A6A9,3.4038217861778906,4172,439,325
DD14C7,3.262506448492556,582,938,290
6D4D97,3.526201763474145,6027,938,222
913030,,4145,679,0
671521,,6189,977,330
59C650,3.338222942112421,8198,938,86
6C32C7,,6965,1376,298
BE44C2,3.1287634395602133,3782,1275,56
0AD8D0,3.7049760470327797,7433,1030,330
C97778,,755,938,0
A2D5D0,3.45642392573564,18,938,86
ED34D5,3.6116219438102477,4640,890,330
AB4270,3.1846613711006815,4072,1181,243
DB8ABC,,741,1608,235
677635,3.1177840861329313,6508,1555,330
15C6FA,,7504,249,251
394020,,8195,895,300
A96278,,5502,894,330
35BCEC,,1879,1422,330
854F15,3.505784170668954,4787,610,330
5FB6C8,3.058521497753563,6350,1325,243
53DFDC,,5889,938,251
261C19,4.096363579961239,1098,248,17
2CD5CA,4.076394594985552,3881,1087,330
EBCCFD,3.1182954468313593,582,57,290
C9CECA,3.292458388443681,3535,938,112
5D2511,3.2928799098968304,4673,438,154
50BC7C,3.316671983391357,810,1531,290
424193,2.8326268587137973,4879,938,290
67488D,,4640,890,330
DDEDCF,3.006689580187429,7145,1149,112
9D8E5A,2.71054231535038,1375,305,251
27FF53,3.899431510242514,5352,614,115
0F75E8,3.3360033329630605,6714,990,232
15CC0B,,4562,102,330
474BF3,3.2146410767727818,4019,439,325
C348EC,3.28187294401564,1672,1421,330
1943F5,3.357882038684139,4740,1187,56
93FDFA,3.5237418808935295,4740,1187,56
606AD5,,749,262,330
89F5D5,,7113,938,86
CE62B2,,6634,1441,154
C1DB6F,,308,1455,316
39D20C,3.321651478709325,8012,355,330
F80870,3.710857346446986,4300,938,290
CE034D,,704,886,45
636EF7,,4172,1464,180
7961C9,,4009,1529,330
B22DA5,3.3624050419334637,5055,439,325
F5E390,,1111,262,330
1CA17D,,6829,262,330
925004,3.4981839730388296,582,154,290
E8F336,3.207762121716849,5819,154,290
FA3EBC,4.143991944846531,7255,1079,56
5BDCDC,,7443,134,121
4E22EF,,465,182,255
699C37,,4611,454,154
8C3B9B,,6713,57,50
A6521C,3.7943860673128853,1840,262,330
BA0EE6,3.561214171911726,7885,1529,330
5EA137,,4040,688,330
E01AE6,,6220,262,330
0230EF,,4200,129,196
CD6374,3.0745175812901606,556,172,121
89C4EB,,7591,1522,23
67CEE9,3.7818285644548144,992,990,121
C28260,3.3345348640448984,4027,1251,121
C77E4F,3.551630881224182,2452,626,330
88857A,,3766,713,187
F04281,4.042021091416835,5074,262,330
3CD749,3.859856998147349,7526,233,56
066A6E,,257,1422,330
795EA7,,2525,473,330
19375F,,3567,688,330
8996CD,,1287,262,330
133966,3.1241058050543287,1088,938,265
802BA6,,5491,938,115
25E95C,3.0169602606036023,3573,1417,147
BD9520,2.8316087385038613,1442,894,330
7915B3,3.5593932255769296,4947,1421,330
A723A7,3.0928053194837757,582,296,290
DFBB42,3.8555658214609796,1439,1569,330
C1CAD5,,7674,1422,330
2E6688,3.799723981311257,582,296,290
CCB7CC,3.1658119934206215,1024,425,325
4B4065,3.228621969149173,4189,260,325
C9710F,3.185589970528424,4300,938,290
A366FE,,3468,1376,298
0384C7,3.9168662126622453,215,66,255
DF7D85,,7724,1558,228
D07930,3.706397820633029,92,462,232
8FDF66,,6884,894,330
2FD278,3.335158795915457,3823,248,17
978C52,2.941026256940831,4354,439,325
DE44ED,,6121,867,330
139DB5,3.629384103261576,1500,621,330
BB940D,,755,189,121
5DA6A8,3.6241977779540115,4300,816,290
93AB78,,3861,1181,243
F07559,2.8319585144294885,4810,262,330
AF5592,3.9202127949200936,215,66,255
9F4896,3.6981709646560867,8136,1604,325
FCA590,3.318780620564268,1933,1072,330
48B526,,3393,626,330
74240C,2.8369991241828973,4934,621,330
F5EFA1,3.529416983983395,5779,1087,330
D3F6FC,,2750,102,330
54D6B9,3.4443901510307486,7751,1134,330
679EF4,,2046,621,330
7F0673,,552,843,330
0DCCCB,2.6343357511911107,2953,1134,330
1E019B,2.620573102509364,1233,119,22
21B5F3,3.839856910098256,6666,630,330
30C0FA,3.1330751446920906,2199,57,56
CEE917,,3622,439,325
ED8B42,3.3794955660526935,5779,1087,330
7CB233,3.47431068327268,1191,57,56
6F731F,,6306,262,330
8A510D,,7341,1188,22
38148C,,1593,1072,330
E7E6B5,3.2250608295227106,1036,982,330
10F52F,,6646,843,330
531C6F,3.6966104259541286,6033,1134,330
90FBB4,,3567,894,330
83FEDE,3.8648023232194846,6700,1134,330
50C90B,,1879,1422,330
F32C1C,,4936,473,330
3E59A2,3.973637081617147,3454,854,336
D6BE95,,6429,1079,56
A5CBA0,3.5349879167199854,6120,755,154
BB6CCA,,7260,262,330
A024B5,2.7732018395041087,1046,1591,330
9CF6B7,,6813,1555,330
C23BF9,3.1614898189663605,4172,938,325
FE62F2,3.84445626684064,3977,626,330
24E644,3.705408710783184,7085,1087,330
05BEA6,,358,1030,330
13AFCA,,1496,392,330
C431EA,,4508,977,330
C699A2,3.091398751269124,613,982,330
825CD4,,4569,621,330
DA7462,3.4310885199157637,4938,267,154
63F8C9,3.508745484910606,831,1031,330
289A97,,4211,703,330
4B4007,,1446,1569,330
930E72,3.9052695828946136,5200,1025,325
048067,3.994701031542875,1191,57,56
CF2BFA,3.4250912259752018,5126,825,330
493E20,4.13254043374961,2324,439,325
572B8B,2.8303820694166686,3629,1555,330
955081,3.6340810554686573,2149,621,330
6815A6,,6115,650,154
591C34,2.7239503142102373,6661,938,279
DE1C90,2.9010523011178186,1055,977,330
C87440,2.9945833819499947,6160,981,22
4C02E9,3.164929691514361,1871,822,143
60F547,,1446,1569,330
E1ED47,,6243,890,330
1515DA,,4139,977,330
9AF5C1,,7958,262,330
E31BC3,2.901780900333734,1745,262,330
A3A232,-inf,3393,626,330
A6BD6D,3.4384938465432797,4520,1521,22
E376A9,,4139,977,330
87C1B4,3.2211928806838586,4328,807,251
605318,,375,1422,330
B52B5B,3.509930066049675,7526,233,56
433508,,6120,982,330
71A475,3.801457888581036,1450,1529,330
F38C8B,2.5710378395816518,169,978,330
D86044,,3416,630,330
F3E1C5,4.125874640044548,7723,977,330
1C2655,,1255,262,330
42816C,3.8372289151850785,7504,262,330
8103BA,4.2631325947922525,6598,1555,330
12FE69,2.844757389651128,1574,867,330
EBF562,3.905322562423622,3949,972,330
FE1856,3.441858465934864,5779,1087,330
2FA154,,3306,1422,330
F21C88,3.2121091055569018,939,844,330
8C5DD8,,1260,894,330
72B05E,,4633,1591,330
D931F4,3.2818048073123123,8012,1079,56
E04A27,4.0978824726000465,1500,621,330
CA2DDA,3.3722458899636765,4363,688,330
5728C4,,5511,1079,56
B989CE,,4947,1421,330
E47892,3.930492241278369,7888,1591,330
90F834,3.9346601353548376,7072,1134,330
0D17C5,3.3505601785341153,1446,1348,330
BD3428,4.1352635021701385,3834,262,330
EE80A9,2.8466078282962957,6284,1422,330
BB515C,,6022,1529,330
39AE97,3.864066532529688,1924,867,330
98C5A4,3.675442315018123,2217,262,330
A3C4EE,3.3528721564147275,7394,978,330
6272E1,3.9184019962415197,7759,392,330
8DEE23,,5388,1079,56
A512BC,,2074,104,330
5287F6,3.374292319701571,5779,1087,330
036C38,,2916,1030,330
9B0917,,5779,1087,330
9B31D5,,749,262,330
1CDE10,4.04830636078437,8028,473,330
962B06,,6431,511,330
852480,3.4001218431385105,916,1555,330
58EEB6,3.17153133550564,950,621,330
96B25F,,6508,1555,330
BFE838,3.089184071511355,2941,630,330
780992,,4520,1521,22
6926C4,3.1448506720713696,6592,439,325
45F363,,3331,1422,330
88195A,,3483,894,330
A99D3A,,5951,57,56
FCCFDB,2.944650014668529,963,905,330
0A8DAD,3.621754939163599,7506,981,22
D174D9,3.3589327639149373,3448,614,115
00A7C6,3.5685437797766015,3037,558,121
F196B6,3.093696602250142,4323,1215,121
A0914C,2.7757117731519996,6661,49,279
CBC9E7,3.319979175313125,5045,982,330
27799D,3.847948961737198,4669,1477,330
23909C,4.0138590827364915,6869,473,330
8C7F22,3.959139641401758,1731,101,17
37E350,3.4285360918020644,4172,439,325
826A57,4.078068643806824,6142,1422,330
2D7CCF,,6572,260,154
F50DB7,2.992040470345669,3132,576,337
659B41,,1911,262,0
A30D5A,3.2511015885179764,5580,894,330
FDEC4B,,6239,894,330
FF9CE0,4.2067516553614785,7777,1350,330
6968D2,3.8124042600072388,1050,982,330
2E3EA4,,2546,1422,330
79E7A9,3.29462828975143,3061,562,337
B6B261,,2294,439,325
C59DDD,,5709,894,330
D0157A,3.9483368032824497,2450,1441,154
AE32D7,,5822,825,330
EB91BB,,4267,473,330
ABBC3D,,4374,1134,330
65FA8C,,3572,1325,243
42A2AA,2.939417892525013,3740,1521,143
EB92BB,,7467,262,330
E537A6,2.7570448767529196,5235,938,86
775E2D,,306,1608,255
1C483D,3.6019877271809384,7203,34,154
D101F5,3.437009620210903,5740,473,330
987760,3.886170349488625,5269,350,330
C08951,,1126,1,0
E2618F,,5853,1529,330
F082EC,,4937,797,330
4B7D76,3.555707278514701,6622,1134,330
E9EB33,-inf,111,119,8
F13A6B,,279,982,330
D0AE4A,2.6981333325351615,2572,1591,330
267C4B,3.8786943961016576,2569,1421,330
40354B,,6827,621,330
0830A6,,6813,1555,330
5493E1,,187,61,98
F5CD1B,3.346747949270599,3861,1181,243
0132B7,,2870,867,330
67E7DB,3.1356190295651793,1994,938,222
5ED20B,3.14381742668085,2644,493,314
1D0F86,3.4443554472425775,1177,355,98
704829,3.493668292852461,7210,296,290
7BB4BC,3.1309226377169637,2649,414,255
8CE73F,3.5430906216246694,758,1171,300
6766C1,,289,709,147
50029C,,5501,233,56
37D6FC,3.3831723197574406,7277,938,143
3751FB,3.084370070245298,4164,737,290
15B694,3.814155075261162,8162,99,290
C46B8E,4.023206409930255,110,1346,22
FC42C8,2.9388388765798252,7161,1483,332
B6B3BD,3.1278613236449475,2016,407,259
EC2FDD,,4611,788,154
597E35,3.2541385750259835,3767,1290,187
BCC48B,,905,211,154
CB0674,4.105199737084021,6141,890,330
9BBC14,,2686,1147,154
B1EBD2,,4897,938,121
FB345D,3.746706236557207,4583,473,330
91DEC7,,939,844,330
6C364D,3.32765319674797,5750,1056,56
13CB02,,4172,439,325
C0B20E,2.838107840741346,3262,473,330
BF8122,3.8984683624183405,6306,262,330
A4C628,3.7564887206969013,421,982,330
E7A5BC,3.5344327963302278,5931,1199,302
4B9F1D,3.5877840202706404,5162,977,330
4AB410,3.010361028343374,7183,1417,147
0A9635,,2872,57,56
4E38F5,3.1235873133256025,2498,1087,330
F23614,,799,1022,121
FF8C2F,3.7196490143750234,3725,626,330
28560A,,4365,1134,330
64F466,,2233,350,330
2B07D2,3.430847636575304,674,180,69
16458C,3.4069844292631966,6729,844,330
CD0F01,3.524929386764318,4300,816,290
C50AFA,2.9420942075443053,7504,938,290
0655CF,3.1710740031200886,6716,788,154
F08033,3.0003468110652554,5249,621,330
2BD03E,-3.6740229321033927e-06,308,938,316
CC5550,3.3289976378522463,4717,838,154
FABF65,3.3720305524769567,5488,772,255
4046B2,3.5174532407315127,2595,262,330
8BC3C0,3.9831474164639027,5780,938,255
24A180,,5841,1216,330
7034E0,,4176,893,330
9A4025,3.797444570191,7314,1079,56
5ECCDB,3.8549801994972293,6522,938,290
4D73FA,3.1367368426405284,6277,138,45
2B584E,,1098,248,17
0F6576,,279,1006,222
6D2703,3.7049637414719485,4432,1172,115
BF2034,3.7175762259307326,2897,1373,23
94B453,,5654,1134,330
2DD6AF,,755,189,121
FF6CC5,3.7914276350737626,3667,1283,121
1F0FE6,3.507276473811302,5491,938,115
9A0467,,2519,350,330
00B907,2.735852432152503,6088,890,330
843C39,,3786,1022,121
E5890C,3.895083535347272,2104,1022,121
CFD652,3.1708759415450674,7314,1079,56
91EC22,,2097,1030,330
851B52,3.0024768236692188,6661,1327,279
17A54A,2.9968467936138086,6298,262,330
413E21,,7763,1529,330
34C86B,,6479,1056,56
F6A88E,,5779,1087,330
85DB35,3.6319930151696433,3306,1422,330
DB6235,3.134382298618928,2927,1220,115
0251A1,,2678,867,330
91A4FF,,5388,1079,56
271C6E,3.035328469069603,1272,1550,325
8BC23C,3.5606642672341238,5581,1574,22
D493C5,,3554,233,56
FCDCEA,,6298,262,330
AF5ACB,,6380,262,330
EC88E7,3.2665815062414016,3406,473,330
6DF319,,6692,1134,330
B6F8F9,,1030,1550,325
BDD878,3.4132227605982632,5388,1079,56
358653,4.057177907843556,4699,1030,330
AE7798,,2416,833,228
C40A64,,1461,1421,330
9E5D04,4.106611371990755,3479,511,330
FFB56F,,6654,1079,56
91F41C,,5231,982,330
2D5276,3.102395524895418,8191,1215,121
C42F46,3.031537815342134,3207,57,56
8EDBA8,3.88319366936554,7597,495,290
962DFC,3.276504475265322,195,63,290
93EFE0,,4110,1639,298
614F32,,2984,938,143
7ADA12,,2984,565,143
BBCED7,3.295241107702548,4948,822,143
39AAFB,3.1795352666399714,3565,704,143
80BE87,,2318,704,143
8B5030,-0.011219471974160346,3481,668,272
FBC01B,,1183,1560,143
23D07F,3.124959239545383,7534,1480,143
1242FD,,5857,1179,143
7F68A1,,6715,825,143
CF8165,3.4538311727793047,4172,34,154
EDE654,3.3006501439537552,618,797,330
D93172,,8113,1188,22
B130C5,4.176500205063025,5343,1087,330
B7441A,3.324603612348441,2191,843,330
81C636,3.0025137258376113,560,945,145
1F9726,3.7865555029246076,6701,511,330
42AE58,3.324819375533704,7456,621,330
67A5B2,3.795269933478783,432,511,330
EB5392,3.03751332310241,6950,1591,330
1CC0C8,,3861,636,243
3D035A,3.5596664792172237,4719,57,265
9B31DE,2.624712534711947,644,981,22
69E269,3.0667194857706104,5491,938,115
E4492F,4.381147702143703,3881,1087,330
E0C989,3.2230616887035652,4172,530,325
CB58D3,3.7801653514591895,5388,688,330
B9AE97,4.063969180894874,187,1529,330
770144,,3393,626,330
FED67F,,228,1625,222
449096,2.5914091835233464,8012,1079,56
56125B,,4740,1187,56
A152DC,,5464,262,330
6122DE,,5200,439,325
F6B393,2.7723830242639025,2728,938,187
F0717C,3.443844093704464,4810,262,330
0AB22E,3.9827086009640498,4803,1134,330
D7C06F,3.9487640479473045,5517,893,330
2A9037,,6761,1591,330
881AF4,,419,1147,154
8756E9,,4197,262,330
C32298,,6284,1422,330
26F87B,,2072,890,330
C60F9C,2.650620885624009,6076,1529,330
DCF765,3.743950138961535,5645,1398,45
A2C5B3,3.296198118029735,5414,439,325
319779,3.386719899789841,5814,162,300
48CDC6,3.882740416417308,85,938,325
E4259A,,459,1422,330
65F430,,5195,49,330
D95615,3.5305825372069966,4577,399,196
D66FDE,,6820,473,330
595B4E,3.4081552610603496,3925,843,330
D0ABA4,3.935080349190007,4661,1079,56
C7E98D,2.786909827918956,7763,392,330
35E136,,425,262,330
1D8A8F,4.164760645613801,4187,473,330
24F9CE,,1674,905,330
76818A,,3473,262,330
86BEB6,3.1729515387388814,465,122,255
9EF46B,3.4440422801966277,2171,977,330
24B96D,3.692720812569403,4118,938,255
AB1C55,,7827,797,330
4CB6B3,,6900,836,56
77929B,4.217700501726942,169,978,0
E996A9,,3926,1134,330
5D9E72,,565,692,143
6DE65B,3.957319329653797,7269,1347,228
56282E,,755,189,121
11E509,3.356009124524026,1755,982,330
16E286,3.5029952525516457,7351,588,121
39B230,,169,978,330
D3F160,,4864,1348,330
9B1438,4.006889488053519,5250,890,330
8245D4,,5009,355,330
A08FB2,2.776621260104325,5212,894,330
E3F1C3,,6890,890,330
085A9A,,4762,262,330
4680B4,3.8578539366483833,5265,473,330
09A6A1,3.226444206615852,2564,588,121
A53355,3.5848690700971964,4182,350,330
EFAA22,,6291,262,330
CCA6CE,2.6364636379560986,5395,1093,290
8CBD28,,7759,392,330
57B0D7,3.6085245825426333,8188,1629,300
CB397C,3.692725596255288,8162,97,290
E5FBFA,,3868,797,330
EC24BB,,6968,262,330
1FA8FD,3.502280875177865,4056,1022,121
C04243,3.170785756627743,2962,106,69
576DE7,,6492,1134,330
810375,3.3493183942350346,5604,1134,330
B3B7F3,,2070,938,121
4DB2D0,,5828,1421,330
441553,,6394,262,330
CBFB26,3.4162309084713387,2639,489,69
85F34F,3.144428452819687,4119,938,255
7FCE9A,,5251,262,330
6387F0,3.3225895949284685,2173,1591,330
CB9332,,8136,1134,330
AB9C39,3.945342443554736,4469,1030,330
5BEB47,3.7446862323868966,5320,960,0
7B6FC2,,428,110,127
6766E4,,819,49,330
3CDF6F,,7183,1417,147
99AD4D,3.6387246742571455,2627,1076,330
6BEE13,3.287805816343375,972,218,255
561E7E,3.957858027626514,3663,706,296
3E3D02,2.7584183915821656,7837,894,330
80E3FD,3.336010620911569,3481,668,272
090DB1,3.1452810095471873,448,938,228
FCD365,2.5753428076801277,5779,1,0
8F107B,,969,473,330
4B9D49,,3021,1056,56
9F944B,,8064,262,330
